prompt_id,domain,n_draft,acceptance_rate,tokens_per_sec,latency
p9,alpaca,4,0.8571428571428571,13.663352900822979,2.195654332999993
p9,alpaca,8,0.7878787878787878,16.113730356502792,1.8617662909999808
p10,alpaca,0,1.0,7.260599577307116,4.131890167000051
p10,alpaca,2,1.0,9.106902857240165,3.294204458999957
p10,alpaca,4,1.0,13.540613551089844,2.2155569159999686
p10,alpaca,8,1.0,20.298312457506174,1.477955374999965
p11,alpaca,0,1.0,7.1753847696457145,4.180960459000062
p11,alpaca,2,0.9523809523809523,8.386247742536638,3.577285208000035
p11,alpaca,4,0.7666666666666667,10.630769786960204,2.8219969579999997
p11,alpaca,8,0.6666666666666666,15.416536176607721,1.9459624170000325
p12,alpaca,0,1.0,7.726171931795903,3.8829060839999556
p12,alpaca,2,0.9523809523809523,8.449242963292638,3.5506139579999854
p12,alpaca,4,0.7666666666666667,10.444904931366935,2.8722137919999113
p12,alpaca,8,0.6666666666666666,14.850990728155132,2.020067250000011
p13,alpaca,0,1.0,5.345874597376093,5.611803915999985
p13,alpaca,2,0.9523809523809523,7.910193812528813,3.7925745829999187
p13,alpaca,4,0.7666666666666667,11.97390208055892,2.505448916999967
p13,alpaca,8,0.6666666666666666,15.45008213649857,1.9417372500000738
p14,alpaca,0,1.0,7.838370705813988,3.827325999999971
p14,alpaca,2,0.9090909090909091,9.683333216326215,3.0981067500000563
p14,alpaca,4,0.7931034482758621,11.696763739408759,2.564811999999961
p14,alpaca,8,0.65,15.385362292669758,1.94990533400005
p15,alpaca,0,1.0,7.925679843351384,3.7851642500000935
p15,alpaca,2,1.0,10.37854458229869,2.8905787090000103
p15,alpaca,4,0.8571428571428571,13.46833493041346,2.2274468339999203
p15,alpaca,8,0.6842105263157895,15.411430285400572,1.9466071249999004
p16,alpaca,0,1.0,7.374903507162044,4.067849832999968
p16,alpaca,2,1.0,10.560208809289767,2.8408529170000065
p16,alpaca,4,0.8571428571428571,13.292310798699935,2.256943917000058
p16,alpaca,8,0.6842105263157895,15.782468834775704,1.900843291000001
p17,alpaca,0,1.0,7.3068451469136875,4.105739125000014
p17,alpaca,2,0.5333333333333333,6.5828870545329465,4.557270958999993
p17,alpaca,4,0.47619047619047616,7.609832393220947,3.942268166999952
p17,alpaca,8,0.2916666666666667,7.144514557963628,4.199025666000011
p18,alpaca,0,1.0,7.327108256677269,4.094384708000007
p18,alpaca,2,1.0,9.311743915182952,3.2217380839999805
p18,alpaca,4,1.0,15.806562100262289,1.8979459170000155
p18,alpaca,8,1.0,20.47898118433872,1.4649166250000007
p19,alpaca,0,1.0,7.59566294461686,3.949622333000093
p19,alpaca,2,0.42424242424242425,5.617316170109674,5.34062870799994
p19,alpaca,4,0.25,4.659319640545577,6.438708291000012
p19,alpaca,8,0.1415929203539823,4.137403990847372,7.2509235420000095
